supplier_id,incident_type,pillar,severity,date
S0007,Child labor risk,Social,Low,2024-04-27
S0007,Forced labor risk,Social,Medium,2025-10-23
S0010,Corruption / ethics concern,Governance,High,2025-06-01
S0010,Corruption / ethics concern,Governance,Medium,2024-05-26
S0015,Child labor risk,Social,Low,2025-08-01
S0015,Forced labor risk,Social,Low,2025-09-04
S0024,Forced labor risk,Social,Medium,2025-06-09
S0027,Forced labor risk,Social,High,2024-09-22
S0028,Health & safety incident,Social,Medium,2025-05-21
S0030,Health & safety incident,Social,Low,2025-04-09
S0033,Environmental spill/pollution,Environmental,Low,2025-03-26
S0035,Child labor risk,Social,Medium,2025-09-06
S0040,Forced labor risk,Social,Medium,2025-01-17
S0041,Child labor risk,Social,Low,2025-04-13
S0047,Environmental spill/pollution,Environmental,Low,2025-12-11
S0048,Health & safety incident,Social,Low,2024-01-30
S0049,Environmental spill/pollution,Environmental,Medium,2024-03-14
S0050,Environmental spill/pollution,Environmental,Medium,2025-09-27
S0054,Conflict minerals traceability gap,Governance,Low,2025-08-08
S0062,Corruption / ethics concern,Governance,Low,2025-12-05
S0070,Conflict minerals traceability gap,Governance,High,2025-08-31
S0082,Health & safety incident,Social,Medium,2024-02-07
S0083,Corruption / ethics concern,Governance,Medium,2024-11-19
S0085,Conflict minerals traceability gap,Governance,Low,2025-10-22
S0090,Health & safety incident,Social,Medium,2024-02-04
S0090,Environmental spill/pollution,Environmental,Low,2025-08-07
S0094,Environmental spill/pollution,Environmental,Low,2024-12-30
S0096,Child labor risk,Social,Low,2024-10-25
S0098,Corruption / ethics concern,Governance,High,2024-05-05
S0107,Health & safety incident,Social,Low,2025-07-22
S0107,Environmental spill/pollution,Environmental,Low,2025-03-20
S0108,Health & safety incident,Social,Low,2025-05-12
S0111,Health & safety incident,Social,Medium,2024-07-29
S0116,Child labor risk,Social,Low,2024-08-09
S0117,Conflict minerals traceability gap,Governance,Medium,2024-07-03
S0119,Environmental spill/pollution,Environmental,High,2025-11-19
S0120,Conflict minerals traceability gap,Governance,Low,2025-06-03
S0123,Health & safety incident,Social,Low,2024-11-03
S0123,Forced labor risk,Social,Low,2024-12-17
S0130,Forced labor risk,Social,High,2024-12-21
S0135,Health & safety incident,Social,Medium,2024-03-10
S0139,Environmental spill/pollution,Environmental,Medium,2024-04-18
S0141,Health & safety incident,Social,High,2024-09-23
S0142,Environmental spill/pollution,Environmental,Low,2024-09-01
S0152,Child labor risk,Social,Low,2025-04-29
S0159,Forced labor risk,Social,High,2025-02-11
S0165,Child labor risk,Social,Low,2024-05-20
S0167,Child labor risk,Social,Low,2025-02-06
S0174,Environmental spill/pollution,Environmental,High,2024-03-11
S0180,Environmental spill/pollution,Environmental,Low,2024-01-18
S0186,Health & safety incident,Social,Low,2025-03-30
S0186,Corruption / ethics concern,Governance,Medium,2024-10-28
S0186,Child labor risk,Social,High,2025-09-19
S0188,Environmental spill/pollution,Environmental,Low,2025-08-02
S0191,Health & safety incident,Social,Low,2025-08-19
S0208,Corruption / ethics concern,Governance,Low,2025-03-05
S0208,Child labor risk,Social,Low,2025-09-10
S0213,Conflict minerals traceability gap,Governance,Medium,2024-02-21
S0215,Child labor risk,Social,Low,2025-03-26
S0218,Forced labor risk,Social,Medium,2025-06-01
S0218,Health & safety incident,Social,Low,2024-06-05
S0231,Environmental spill/pollution,Environmental,Low,2025-09-18
S0238,Corruption / ethics concern,Governance,Medium,2025-10-21
S0239,Corruption / ethics concern,Governance,Low,2025-06-27
S0245,Health & safety incident,Social,Low,2024-12-03
S0246,Corruption / ethics concern,Governance,Medium,2025-02-08
S0249,Environmental spill/pollution,Environmental,Medium,2025-08-15
S0253,Environmental spill/pollution,Environmental,Medium,2025-09-14
S0261,Child labor risk,Social,Medium,2024-06-19
S0282,Corruption / ethics concern,Governance,Medium,2024-12-24
S0283,Corruption / ethics concern,Governance,Medium,2025-03-10
S0287,Forced labor risk,Social,High,2025-07-29
S0288,Environmental spill/pollution,Environmental,Low,2024-11-24
S0289,Conflict minerals traceability gap,Governance,Low,2025-11-11
S0289,Conflict minerals traceability gap,Governance,Medium,2025-03-01
S0298,Forced labor risk,Social,Low,2024-11-26
